云南线路①,#genre#
CCTV-1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225835/1.m3u8$华为
CCTV-1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225965/1.m3u8$华为
CCTV-2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225833/1.m3u8$华为
CCTV-3,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225609/1.m3u8$华为
CCTV-3,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226337/1.m3u8$华为
CCTV-4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225615/1.m3u8$华为
CCTV-5,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225607/1.m3u8$华为
CCTV-5,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226332/1.m3u8$华为
CCTV-5+,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225893/1.m3u8$华为
CCTV-6,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226339/1.m3u8$华为
CCTV-6,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225605/1.m3u8$华为
CCTV-7,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225831/1.m3u8$华为
CCTV-7,http://39.135.133.157:80/wh7f454c46tw2012060834_1130688400/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$4.1M_1080
CCTV-8,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226334/1.m3u8$华为
CCTV-8,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225603/1.m3u8$华为
CCTV-9,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225829/1.m3u8$华为
CCTV-10,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225827/1.m3u8$华为
CCTV-11,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226346/1.m3u8$华为
CCTV-11,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226377/1.m3u8$华为
CCTV-12,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225825/1.m3u8$华为
CCTV-13,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226353/1.m3u8$华为
CCTV-13,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226362/1.m3u8$华为
